stock1,stock2,coint_score,pvalue,correlation
FRT,WRB,-1.9904738257118009,0.5335262544445207,0.24336737349478857
CPB,PHM,-1.9904696944942961,0.5335283986489733,0.6609131815894183
INTU,LITE,-1.9904672353295985,0.5335296750157933,0.7338072654151233
EBAY,TKO,-1.9904650341768073,0.5335308174676517,-0.30140815326152914
HLT,PNR,-1.990462995458116,0.5335318756118799,0.7534004423468731
L,WELL,-1.990461469897553,0.5335326674144093,0.7433435139871398
DLTR,TYL,-1.9904277050311794,0.5335501921376309,0.3773971555123576
PNR,TXN,-1.9904226959285098,0.5335527919657586,0.8056367752977808
ARE,ZBH,-1.9904210415098067,0.5335536506428775,0.6059227265031596
BRO,PPG,-1.9904046799180677,0.5335621426304056,0.7253914898286496
CAT,CNC,-1.9903890125699752,0.533570274269755,0.6317539727738368
CINF,RCL,-1.9903846929214897,0.5335725162422859,-0.09955489168645797
KMB,NUE,-1.9903746547376042,0.5335777262275878,0.2672007178894708
FDS,PRU,-1.990369231604949,0.5335805409204334,0.4182314805489321
AIG,HAL,-1.9903544260876167,0.5335882252082494,0.7272952954341864
APTV,PSA,-1.9903028498060165,0.5336149939290351,0.6306132647064973
CRH,GE,-1.990248907454837,0.53364299041804,0.4726370270165534
APTV,NFLX,-1.9902088105837075,0.533663800831737,0.5458191078449801
MAR,RCL,-1.9902076332660172,0.5336644118615147,0.23042338398695061
GILD,RVTY,-1.9902044268472632,0.5336660759973929,0.23784201218644033
CAT,LVS,-1.9901989776764586,0.5336689041226836,-0.4304744838175617
DE,LVS,-1.9901950227120468,0.5336709567516684,-0.5950436121838113
CAH,XEL,-1.9901865203602225,0.5336753694728699,0.3893926713855258
AMZN,KMI,-1.9901808244228327,0.5336783256612116,0.04649917147728255
ETR,PPG,-1.9901569215198547,0.5336907312233623,0.5698775032285596
CAT,MGM,-1.9901508050471115,0.5336939056532267,0.7533699677929061
BRK-B,EIX,-1.9901431838315833,0.5336978610351808,0.5769939319145035
IVZ,KMI,-1.9901229736194908,0.5337083500337738,0.317695377960178
AKAM,EMR,-1.9901036117555522,0.5337183987101053,0.575432629345945
AMZN,INTC,-1.990102486653994,0.5337189826291805,0.3265202415726528
BMY,CF,-1.99009714184891,0.5337217565404798,0.6578724661958645
EQR,GOOGL,-1.9900664400359747,0.5337376904881538,0.6256459992626301
CFG,TFC,-1.9900573762808589,0.5337423944745664,0.9502480695035151
GL,TRGP,-1.9900553006053037,0.5337434717256864,0.6794971154172629
ERIE,OKE,-1.9900374443451208,0.5337527388982883,0.02259134956212546
FFIV,LNT,-1.9900195706117625,0.5337620151110225,0.25129460588558905
GM,MAA,-1.9900094187655926,0.5337672837618439,0.585859657731213
CMG,EIX,-1.989996484117353,0.5337739966306079,0.4054521992093535
EQR,GEN,-1.9899499817302373,0.5337981304791085,0.4085777611540001
CF,KMI,-1.9899323022409372,0.5338073057453436,0.7560889407111189
FCX,TGT,-1.989899652435136,0.5338242502039863,0.7918894953179934
SRE,TAP,-1.989899622639959,0.5338242656669187,-0.1747389752723286
MCHP,ORLY,-1.9898992761898688,0.5338244454656198,0.810860076200477
TMUS,WAT,-1.9898747579196405,0.5338371697913391,0.7838366460602798
BKR,STT,-1.9898395001183262,0.533855467552805,0.5946405367566823
ADBE,PEG,-1.9898126097998532,0.5338694227628634,0.6536896646988131
FDS,ISRG,-1.9898113879784092,0.5338700568473577,0.8183275652334743
FDX,TT,-1.9897773958615466,0.5338876975669009,0.40844960880027514
FTNT,LYV,-1.989773650736193,0.5338896411496845,0.8275411640614257
CDNS,DPZ,-1.9897420734073323,0.5339060285764781,0.8701510945294277
FFIV,PSX,-1.9897244048543148,0.5339151978416261,0.2112222895890533
ALLE,DVN,-1.98971871532183,0.5339181504732164,0.042789758406973744
PNR,SPGI,-1.9897111052019427,0.5339220998055925,0.7299401857248589
HPE,PH,-1.989702451346475,0.5339265907866252,0.4030255453352038
CVNA,PSX,-1.9896539190967948,0.5339517768263152,-0.5088605729590571
FDS,PPG,-1.9896517112326864,0.5339529226028286,0.6803521818044235
PANW,WAB,-1.9896427023696237,0.5339575977700028,0.49575755313572334
MS,TRV,-1.9896229336281188,0.5339678567719687,0.8339589020519604
CSGP,NTAP,-1.9896169680469418,0.5339709526075979,0.139228599818384
ESS,WST,-1.9896145188128138,0.5339722236356157,0.5569680252996905
FRT,J,-1.9896133786154448,0.5339728153399123,0.18725963792520842
IBKR,SPG,-1.9896080523589363,0.5339755793939285,0.4122459684184451
GOOGL,SBAC,-1.989576187368756,0.5339921156372806,0.8342933389694825
EQIX,VICI,-1.989569864642812,0.5339953967866723,0.729644847453463
BXP,TXN,-1.9895369015956783,0.5340125027500275,-0.17277824164172284
SNA,TGT,-1.989535668192426,0.5340131428149151,0.7678897172590841
HCA,UAL,-1.9895327194911134,0.5340146730196518,-0.3289250923263001
CL,PNR,-1.989529793258484,0.5340161915636826,0.670376535987579
KEYS,USB,-1.9895050821034128,0.5340290151812679,0.3551292562300997
RCL,ROST,-1.9894670411134492,0.534048756083063,0.18764509146241984
ETR,RL,-1.9894591059246869,0.5340528739350199,-0.08084965065606936
POOL,WMB,-1.9894497923180012,0.5340577070899664,0.4765344996580263
FE,WST,-1.9894263390377345,0.5340698777799034,0.28853293593515567
CINF,EQIX,-1.989402562357705,0.5340822162428093,0.607605737383137
JBL,PRU,-1.989394494314669,0.5340864029912434,0.6737390776239737
KHC,PSKY,-1.9893783491992565,0.5340947811563074,0.3944033900429058
ESS,TER,-1.989377766068438,0.5340950837592379,0.5474961431514906
EQR,HPE,-1.9893491630528397,0.5341099266287992,0.5551242473361071
CHD,WM,-1.9893419316970546,0.5341136791611254,0.8357129998856287
BG,BKR,-1.9892904232079884,0.5341404080763605,0.723130860622603
AIG,ROK,-1.9892888281065195,0.5341412358066697,0.32599411308149046
ES,HST,-1.9892864085669142,0.5341424913541157,-0.2876782344306979
GLW,PRU,-1.9892795952734292,0.5341460269054387,0.6973699733542346
AIG,BF-B,-1.9892476285666165,0.534162614999933,0.11107724988969993
FICO,SYF,-1.9892444387824888,0.5341642702308282,0.38342751436057587
CPT,SATS,-1.989232828367746,0.5341702950563295,-0.6005517219237267
FRT,HUBB,-1.9892185056060712,0.5341777273444456,0.17271617179916285
KMB,NWS,-1.9892147288007682,0.5341796871802754,0.3331743270762907
FSLR,SYK,-1.9891544552616118,0.5342109637703638,0.6644015829605517
CB,MCHP,-1.9891541673403346,0.5342111131750448,0.8076965513354403
AOS,LHX,-1.9891500345563131,0.5342132577093035,0.4153060641707396
GS,VICI,-1.9891374388953618,0.5342197936878157,0.848343033970025
CPT,EL,-1.9891191830871502,0.5342292667320678,0.8628348059081129
AMT,CSX,-1.989109956473243,0.5342340544639606,0.7439394794425128
AXP,STLD,-1.9891077761876959,0.5342351858229304,0.7774071319006114
CPRT,HBAN,-1.9890936063097804,0.5342425386194254,0.3584094334316212
BF-B,GL,-1.9890842310333596,0.5342474034714978,0.5794861657357764
CPAY,IR,-1.9890837219709148,0.5342476676249236,0.21088452345928885
AMAT,SNPS,-1.9890760223589021,0.5342516629647355,0.9045933599017373
ALLE,KO,-1.9890422959113983,0.5342691636047324,0.7067155728122153
EQR,TTWO,-1.9890013948126881,0.5342903870319718,0.19343761184565927
DAL,DVN,-1.98899251859515,0.5342949928483286,0.14915147784780586
LEN,PCG,-1.9889870611173004,0.5342978246975482,-0.4834455082131724
DHI,WEC,-1.988979182000446,0.5343019131145591,0.7449100275001969
CNC,DXCM,-1.988972258100236,0.5343055058719486,0.5814365283913396
GM,SPGI,-1.988946764134621,0.5343187344533401,0.5069207501383445
CINF,FICO,-1.9889430754976314,0.5343206484479166,0.6512964400506377
FSLR,MRK,-1.9889039861707352,0.5343409314098857,0.5102359984422482
NVR,REGN,-1.9888968881953077,0.5343446144457363,0.6292615446585218
CRL,JCI,-1.9888926427572315,0.5343468173394348,0.8997297349884742
LNT,NTRS,-1.9888868518708593,0.5343498221403119,0.4539580161836707
