Date,KDP-MCD,BDX-EVRG,DHI-ITW,BDX-CMS,BDX-SRE,BDX-LNT,BDX-SO,BDX-ETR,BKNG-MGM,CFG-MGM
2023-03-21,0.0,0.013855341539432879,-0.0,0.016644690092837554,0.0,0.016292011608444543,0.011831099687695606,0.014418197028984416,0.0,0.0285457701655145
2023-03-22,-0.0,0.0,0.0,0.0,0.0,0.0,-0.004208496784640792,0.0,0.0,-0.04355467663866501
2023-03-23,-0.0005,-0.0,0.0,-0.0,-0.0,-0.0,-0.009498208258701301,-0.0,-0.0,-0.02816122239228224
2023-03-24,0.014763784788501632,0.0,0.0,0.0,0.0,0.0,0.010143412797076767,0.0,-0.0,0.042034354559573744
2023-03-27,-0.004018128722492643,0.0,-0.0,0.0,0.0,0.0,0.007555862563896993,0.0,-0.0,-0.03220835681030916
2023-03-28,-0.007273375549317581,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0066241780403881526
2023-03-29,-0.0023520098400884393,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.01119839280325147
2023-03-30,-0.000310933053112226,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01629799160629535
2023-03-31,-0.0032514357128870493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03311996032401439
2023-04-03,-0.0072481658833346615,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.002521193725335824
2023-04-04,-0.0014189382608518486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.03068191741692787
2023-04-05,0.002190684239238841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0033147422106696856
2023-04-06,0.003213264833846877,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.019344625132733283
2023-04-10,-0.015183641290451218,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0037958193974097945
2023-04-11,-0.0022663497487059527,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007338989582129653
2023-04-12,-0.004446224885955235,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.006077798686607859
2023-04-13,-0.014249160476540122,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005780056379503755
2023-04-14,-0.003622772955129687,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.01442023591631997
2023-04-17,0.006915466730248815,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0005,0.03498164339035521
2023-04-18,-0.006343958278735543,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010542970821021931,-0.008993904297508425
2023-04-19,-0.002553872856489581,-0.0005,0.0,-0.0005,0.0,0.0,0.0,-0.0005,0.008056190310753233,0.001065395395385272
2023-04-20,0.006145865720308683,-0.010164973904132742,-0.0005,-0.013002095356188743,-0.0005,-0.0005,-0.0005,-0.01369117090463677,0.005442059989725589,-0.04764100661954626
2023-04-21,-0.010393811798867529,0.0043173235948216985,0.012918914386384938,0.004026250941830567,0.0024136582440547135,0.004020747333731594,0.004398055419556877,0.002726166904459236,-0.007349203170439689,-0.014034354026274603
2023-04-24,-0.0030664078077509167,-0.002672089932304532,-0.008382764333218015,3.065966944220148e-05,-0.0011319380169399137,-0.0018095825697977204,-0.0016769102528353041,-0.002125154155487423,0.0016496226510232066,-0.004629273407070086
2023-04-25,0.021526874466234025,0.007726409197935187,-0.014233228889911007,0.005990463542704068,0.00441083250038546,0.005245052368834684,0.0038218850641881428,0.00352152310011733,0.0007589290634392107,0.033355895161428464
2023-04-26,-0.003999712924648489,-0.0007160504101264096,-0.003735899319046075,0.004817758846437982,0.002437977864167974,0.00389469427000335,0.005259902398210204,-0.00011324593556798039,0.00788476821998651,0.030106978155284955
